,Title,ISBN,Rating
659,Echo North,9781624147159.0,
660,Empire of Sand,,
661,Becoming,,
662,Among the Beasts & Briars,9780062847362.0,
664,Master of Sorrows,,
665,A Sky Painted Gold,9781407180205.0,
666,Gideon the Ninth,9781250313195.0,
667,The Queen's Assassin,9780525515913.0,
669,Daisy Jones & The Six,9781524798642.0,
670,Black Sun,9781534437678.0,
671,Birth of Chaos,,
672,Sorcery of Thorns,9781481497619.0,
673,The Fall of Gondolin,9781328613042.0,
674,Below,9781733033428.0,
675,Age of Magic,9781720208297.0,
676,"Red, White & Royal Blue",,
677,The Ruin of Kings,9781250175489.0,
678,The Ruin of Kings,9781250175502.0,
679,The Empire's Ruin,9780765389909.0,
680,On Earth We're Briefly Gorgeous,9780525562023.0,
681,Storm and Fury,9781335218797.0,
682,Fire & Blood,9781524796280.0,
683,The Binding,9780008272111.0,
684,The Desert Prince,9781984817082.0,
685,Cravings: Hungry for More,9781524759728.0,
686,The Gilded Ones,,
688,Elvish,,
689,How to Be an Antiracist,9780525509288.0,
690,Seven Blades in Black,,
691,The House in the Cerulean Sea,,
692,The House in the Cerulean Sea,9781250217318.0,
694,Race the Sands,9780062888617.0,
695,The Maddest Obsession,,
696,Rise from the Embers,,
697,The Ten Thousand Doors of January,9780316421997.0,
698,To Sleep in a Sea of Stars,9781250762849.0,
699,A Good Girl's Guide to Murder,9781405293181.0,
700,Bhagavad Gita As It Is,9789384564193.0,
701,Blood of Heirs,,
702,Heracles' Bow,,
703,Dark Shores,9781250317728.0,
704,Sin & Chocolate,,
706,A Wind From the Wilderness,,
707,The Sword of Kaigen: A Theonite War Story,9781720193869.0,
708,Once Upon the Longest Night: An Anthology of Romantic Vampire Stories,,
709,Chastely Bitten,,
710,Scavenge the Stars,9781368051415.0,
711,The Dragon Tamer,,
712,Such Violent Delights: A Holiday Paranormal Romance Anthology,9781386425564.0,
713,A Thousand Ships,9780063065406.0,
714,We Are the Dead,9781473225206.0,
715,The Starless Sea,,
716,Swordheart,9781614504634.0,
717,Starsight,9781473217904.0,
718,In His Majesty's Service,,
719,The Norse Myths: Stories of The Norse Gods and Heroes Vividly Retold,,
720,The Girl and the Stars,9781984805997.0,
721,The Fires of Vengeance,,
723,Tales from the Front,,
724,Children of Ash and Elm: A History of the Vikings,9780465096985.0,
725,"Nordic Tales: Folktales from Norway, Sweden, Finland, Iceland, and Denmark",,
726,Silver in the Wood,9781250229793.0,
727,The Bone Ships,9780316487962.0,
728,Under the Whispering Door,9781250217349.0,
729,The Guinevere Deception,9780525581680.0,
730,The Guinevere Deception,9780525581703.0,
731,Anxious People,9781982169633.0,
732,Cytonic,9780399555855.0,
733,Defiant,,
734,Feather,9781948463188.0,
735,Untitled,,
736,Untitled,,
738,The Giver of Stars,9780399562488.0,
739,The Giver of Stars,9780399562495.0,
740,Fable,,
741,Namesake,,
742,Women Who Run With The Wolves / If Women Rose Rooted / Wild Power,9789123775316.0,
743,These Violent Delights,9781534457690.0,
744,You Deserve Each Other,,
746,Great Goddesses: Life Lessons from Myths and Monsters,9781529104646.0,
747,Wolf Gone Wild,9781087848563.0,
748,Little Thieves,9781250191908.0,
749,Legacy of Ash,,
750,Fortuna Sworn,9780578489674.0,
751,Daughters Of Nri,9781916042933.0,
753,The Duke and I: The 2nd Epilogue,,
754,Once Upon An Enchanted Forest: An Anthology of Romantic Witchcraft Stories,,
755,American Dirt,,
756,The Unspoken Name,9781250238900.0,
757,Dragon Called,,
758,They Never Learn,9781982132026.0,
759,Of Beast and Beauty,,
760,The Maidens,9781250304452.0,
761,A Wilderness of Glass,,
764,Wintering: The Power of Rest and Retreat in Difficult Times,9780593189481.0,
765,Lore,9781484778203.0,
766,Realm of Beasts,,
767,A Void of Magic,9781736015728.0,
768,Down Comes the Night,9781250623638.0,
769,Winter's Arrow,,
770,The Awakening,,
771,Realm of Knights,9781732366152.0,
772,The Only Good Indians,9781982136451.0,
773,The First Sister,9781982126995.0,
774,Defy the Night,9781547604678.0,
775,The Happy Ever After Playlist,9781538715635.0,
776,Dark Rise,9780062946140.0,
777,Restless Slumber,9781733461672.0,
780,The Inheritance Games,9781368052405.0,
781,Voice of War,,
782,The Empress of Salt and Fortune,,
783,Famine,,
784,Death,,
785,Wolf of Wessex,,
786,Dark King,,
787,A Dragonbird in the Fern,9781635830651.0,
788,A Declaration of the Rights of Magicians,9780316459082.0,
789,The Lights of Prague,9781789093940.0,
790,Where the Lost Wander,,
791,Daughter of Sparta,9780316540070.0,
792,Wicked in Winter,,
793,A Time of Courage,9781509813025.0,
794,The Mask of Mirrors,9780356515175.0,
795,A Forgery of Roses,9781335418661.0,
796,Daughters of a Dead Empire,9781250755537.0,
797,The Lost War,,
798,Reign & Ruin,9781951607012.0,
801,Among Thieves,9781982142148.0,
802,"The Panic Years: Dates, Doubts, and the Mother of All Decisions",9781250268129.0,
804,Rage and Ruin,,
805,Home Body,9781982172459.0,
806,Midnight Fae Academy: Book One,,
807,Piranesi,9781635575637.0,
808,Untamed,9781984801258.0,
809,Fierce Heart,,
810,Mexican Gothic,,
811,The Book of Dragons,9780062877161.0,
812,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,9781982134488.0,
813,Firekeeper's Daughter,,
814,The Iron Raven,9781335091765.0,
815,Queens of the Wyrd,,
816,The Blacktongue Thief,9781250621191.0,
817,The Vampire Debt,,
818,The Hunt,,
819,Blood Scion,9780062954046.0,
820,She Who Became the Sun,,
821,Ariadne,9781250773586.0,
822,The Prison Healer,9780358434559.0,
823,Andorra Sector,,
824,The Wolf and the Woodsman,9781529100730.0,
825,The Wolf and the Woodsman,9780062973139.0,
826,The Death of Jane Lawrence,9781250272584.0,
827,"The Lazy Genius Way: Embrace What Matters, Ditch What Doesn't, and Get Stuff Done",9780525653912.0,
828,The Lost Apothecary,9780778311010.0,
829,The Bone Shard Daughter,9780316541428.0,
830,War Bound,,
831,"Like Streams to the Ocean: Notes on Ego, Love, and the Things That Make Us Who We Are: Essaysc",9780593137253.0,
832,Half Sick of Shadows,9780593200513.0,
833,Serenity,,
834,Flames of Chaos,,
835,The Nature of Witches,9781728229423.0,
836,Don't Hex and Drive,,
837,The Atlas Six,,
838,The Atlas Six,9781250854513.0,
839,The Jasmine Throne,9780356515649.0,
840,The Experiment,,
841,Lakesedge,9781250753397.0,
842,Elder Race,9781250768728.0,
843,Paladin's Grace,,
844,Master of Salt & Bones,,
845,Son of the Storm,,
846,The Gilded Cage,,
847,The Blood Traitor,9780358436379.0,
848,Northern Wrath,9781781088197.0,
849,Pandora's Jar: Women in the Greek Myths,9780063139473.0,
850,Caste: The Origins of Our Discontents,9780593230251.0,
851,Mythopedia: An Encyclopedia of Mythical Beasts and Their Magical Tales,9781786276919.0,
852,Magical Intelligence,,
853,Hunt the Stars,,
854,Hunt the Stars,9780063051034.0,
856,The Ivory Key,9780358468332.0,
857,Untitled,,
858,The Forbidden,,
859,Divine Blood,,
860,Daughter of the Moon Goddess,9780063031302.0,
862,Iron Widow,9780735269934.0,
864,In a Garden Burning Gold,,
866,Untitled,9781681193090.0,
867,Soul Taken,9780440001614.0,
868,Soul Taken,,
869,A Whisper in the Dark,,
870,The City Beautiful,9781335402509.0,
871,Lady Ruthless,,
872,The Four Winds,,
873,The Four Winds,9781250178602.0,
874,The Dark Queens: The Bloody Rivalry That Forged the Medieval World,9781635574913.0,
875,The Stolen Kingdom,9781250298836.0,
876,A Marvellous Light,,
877,Scorpica,9781982167899.0,
880,Dragon's Reach,,
881,Blood to Poison,9781526619174.0,
882,The Power of Hades,,
883,Shadows of Ivory,,
884,Hades,,
885,Daughter of the Deep,9781734826500.0,
886,Shadow of a Dead God,,
887,For the Wolf,9780316592789.0,
888,These Hollow Vows,,
889,Orfeia,9781473229976.0,
890,The Witch's Heart,9780593099940.0,
891,The Witch's Heart,9780593101193.0,
892,Troy,9780241424582.0,
894,Six Crimson Cranes,9780593300930.0,
895,The Dragon's Promise,9781529356786.0,
897,Shattered Kingdom,,
898,Truth and Other Lies,9781944912260.0,
899,The Lord of Demons,9780356513010.0,
900,Untitled,,
901,A Trial of Sorcerers,,
902,Bariloche Sector,,
903,Hall of Smoke,9781789094985.0,
904,The Eagle and the Wolf,,
905,Slewfoot: A Tale of Bewitchery,,
906,The Song of the Marked,,
907,Our Malady: Lessons in Liberty from a Hospital Diary,9780593238899.0,
908,A Life on Our Planet: My Witness Statement and a Vision for the Future,9781538719985.0,
909,The Squire,9798731336253.0,
910,The Promise of Hades,,
912,Uncomfortable Conversations With a Black Man,9781250800466.0,
913,The Spanish Love Deception,9798705893843.0,
914,Hands Down,,
915,Brutal Prince,,
916,A River Enchanted,9780063055988.0,
917,A Fire Endless,9780008514709.0,
918,Apollo,9781734937923.0,
919,Hollow Heathens,,
920,"Clanlands: Whisky, Warfare, and a Scottish Adventure Like No Other",,
921,Dragon Mage,,
922,"NOT A BOOK: Lore Olympus, Season 1",,
923,The Unbroken,9780356516790.0,
924,Gunmetal Gods,,
925,Realm Breaker,,
926,Dreams Lie Beneath,,
927,The Councillor,9780756416997.0,
928,The Snow Song,9780008217402.0,
929,Athena's Child,,
930,A Dance With Fire,,
932,The Passion of Hades,,
933,The Warlord,9781335926661.0,
935,King of the Shadow Fae,,
936,Beasts of Prey,9780593405680.0,
937,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,,
938,The Fate of Crowns,,
939,The Warrior God,,
940,Air awakens deleted scenes,,
941,Together We Burn,9781250803351.0,
942,The Risen Shard,,
944,The Hand of the Sun King,,
945,Sistersong,9781529039030.0,
946,Rosaline Palmer Takes the Cake,,
949,Seasons of a Magical Life: A Pagan Path of Living,9781578637232.0,
950,Untitled,,
951,All of Us Villains,9781250789259.0,
952,Cultish: The Language of Fanaticism,9780062993151.0,
953,Witches Get Stitches,,
954,A Promised Land,9781524763169.0,
955,A Promised Land,,
956,Taste: My Life Through Food,9781982168032.0,
957,The Coward,9780857668882.0,
958,House of Bastiion,9781735460628.0,
959,The Women of Troy,9780385546690.0,
961,The Bone Witch,,
962,A Game of Retribution,9781728259604.0,
963,Sentinals Awaken,9781838155902.0,
964,Sentinals Awaken: Book One of the Epic Fantasy Sentinal Series,,
965,The Savage God,,
966,A Twist of the Blade,,
968,The Song of the First Blade,,
969,Pandora,9781787302884.0,
970,A Spartan's Sorrow,,
972,The Sun and the Void,9780316336444.0,
973,Heroines of Olympus: The Women of Greek Mythology,9781787394926.0,
974,Seven Deaths of an Empire,9781781089132.0,
975,A Tempest of Shadows,,
976,The Color of Dragons,9780062915665.0,
978,Servant Mage,9781250769053.0,
979,The Prince and the Troll,,
980,Gilded,9781250618849.0,
981,Burn Red Skies,,
982,Allure of the Vampire King,,
983,Cold from the North,,
984,Midnight in Everwood,9780008500405.0,
985,Violet Made of Thorns,,
986,Indigo Ridge,,
987,Legacy of the Brightwash,9781777479206.0,
988,The Second Blind Son,,
989,The Citrine Key,,
990,An Heir Comes to Rise,9781838248017.0,
991,Her Majesty's Royal Coven,9780143137146.0,
992,Shadows of Fire,9798538295906.0,
993,A Tempest of Tea,,
994,The Pariah,,
995,The Inheritance of Orquídea Divina,9781982102548.0,
996,Once Upon a Broken Heart,9781250268396.0,
997,Once Upon a Broken Heart,,
998,On These Black Sands,9781732765221.0,
999,The Last Legacy,9781250823724.0,
